Danke;Super, vielen Dank! <br>$p
"&hearts;";"Ich &hearts; den TimeTravel Support einfach für seine Antworten<br>$p"
Super Support!;Einfach nur spitze, weiter so! Viele Grüße, <br> $p
Klasse;Hallo, deine Antwort hat mir sehr geholfen. $p
Danke, Danke, Danke 😀;So langsam bekomm ich es hin mit der Lateinischen Sprache. Aber undenkbar ohne Time Travel. Danke für deine Antwort, <br> $p
Antwort ;Danke für deine Antwort. Hat alles geklappt und ich wurde nicht schief angeguckt. $p
"&#10032;&#10032;&#10032;&#10032;&#10032;";Fünf Sterne für den TimeTravel TM Support. Klasse Antwort, Danke. $p
"&#10032;&#10032;&#10032;";"&#10032;&#10032;&#10032;, $p"
Vielen Dank!;Danke für deine Hilfe. Ich war kurz vorm Verzweifeln. <br> Viele Grüße aus´m Römischen Reich, $p
😁;Suppie. Deine Antwort hat funktioniert. Noch mal ein dickes Dankeschön! $p
Bezüglich ihrer Antwort;Sehr geehrtes Support-Team, <br> bezüglich Ihrer Nachricht wollte ich mich bei Ihnen bedanken. Es gab keine Komplikationen. Noch eine schöne Woche, <br> herzlichst $p
